label,mz,rt_min,rt_max,ppm_tol,neutral_loss_da,nl_ppm_warn,nl_ppm_max,is_istd,istd_pair
5-hmdC,258.1085,8.05,10.05,20,116.0474,20,50,false,d3-5-hmdC
5-cadC,272.0877,11.20,12.70,20,116.0474,20,50,false,
2-OHdA,268.1041,11.17,13.17,20,116.0474,20,50,false,
5-medC,242.1136,11.76,13.76,20,116.0474,20,50,false,d3-5-medC
N4-medC,242.1136,11.76,13.76,20,116.0474,20,50,false,
5-EdC,252.0979,15.49,17.49,20,116.0474,20,50,false,
8-oxodG,284.0989,15.21,17.21,20,116.0474,20,50,false,15N5-8-oxodG
8-oxo-dA,268.1041,20.33,22.33,20,116.0474,20,50,false,
N3-medT,257.1132,22.29,24.29,20,116.0474,20,50,false,
N6-6Ah-dA,351.2139,19.30,20.80,20,116.0474,20,50,false,d4-N6-2HE-dA
Etheno-dA,276.1091,21.97,23.97,20,116.0474,20,50,false,
O2-etdT,271.1289,23.34,25.34,20,116.0474,20,50,false,
N6-HE-dA,296.1354,22.61,24.61,20,116.0474,20,50,false,d4-N1-2HE-dA
O6-HEdG,312.1303,22.77,24.77,20,116.0474,20,50,false,
N2-et-dG,296.1354,25.23,27.23,20,116.0474,20,50,false,
N6-medA,266.1248,25.32,27.32,20,116.0474,20,50,false,d3-N6-medA
O6-HPdG,326.1459,27.91,29.91,20,116.0474,20,50,false,
N4-bz-dC,332.1241,36.48,38.48,20,116.0474,20,50,false,
8-Obz-dG,374.1459,36.61,38.61,20,116.0474,20,50,false,
N6-bz-8-oxodA,372.1303,37.06,39.06,20,116.0474,20,50,false,
N4-anisoyl-dC,362.1347,37.75,39.75,20,116.0474,20,50,false,
O6-benzyl-dG,358.151,39.06,41.06,20,116.0474,20,50,false,
d4-N1-2HE-dA,300.1605,22.39,24.39,20,116.0474,20,50,true,
15N5-8-oxodG,289.0841,15.21,17.21,20,116.0474,20,50,true,
d4-N6-2HE-dA,300.1605,22.39,24.39,20,116.0474,20,50,true,
d3-N6-medA,269.1436,25.25,27.25,20,116.0474,20,50,true,
d3-5-medC,245.132362,11.44,13.44,20,116.0474,20,50,true,
d3-5-hmdC,261.127276,7.97,9.97,20,116.0474,20,50,true,
Y,245.0768,4.37,6.37,20,132.0423,20,50,false,
m1A,282.1197,6.23,8.23,20,132.0423,20,50,false,
ncm5U,302.0983,6.69,8.69,20,132.0423,20,50,false,
hm5C,274.1034,6.52,8.52,20,132.0423,20,50,false,
m7G,298.1146,8.38,10.38,20,132.0423,20,50,false,
m5C,258.1085,9.28,11.28,20,132.0423,20,50,false,
G,284.099,11.76,13.76,20,132.0423,20,50,false,
s2U,261.054,12.71,14.71,20,132.0423,20,50,false,
8-oxo-Guo,300.0939,12.48,14.48,20,132.0423,20,50,false,"[13C,15N2]-8-oxo-Guo"
mcm5U,317.098,14.88,16.88,20,132.0423,20,50,false,
Gm,298.1146,15.21,17.21,20,146.0579,20,50,false,
m5Um,273.1081,17.69,19.69,20,146.0579,20,50,false,
ac6A,310.1146,17.69,19.69,20,132.0423,20,50,false,
"m2,2G",312.1303,18.89,20.89,20,132.0423,20,50,false,
mcm5s2U,333.0751,20.65,22.65,20,132.0423,20,50,false,
m6A,282.1197,24.06,26.06,20,132.0423,20,50,false,
m6Am,296.1354,28.32,30.32,20,146.0579,20,50,false,
t6A,413.1416,30.30,33.90,20,132.0423,20,50,false,
i6A,336.1667,39.08,41.08,20,132.0423,20,50,false,
"[13C,15N2]-8-oxo-Guo",303.0913,12.48,14.48,20,132.0423,20,50,true,
