label,mz,rt_min,rt_max,ppm_tol,neutral_loss_da,nl_ppm_warn,nl_ppm_max,is_istd,istd_pair
5-hmdC,258.1085,8,10,20,116.0474,20,50,false,d3-5-hmdC
d3-5-hmdC,261.127276,8,10,20,116.0474,20,50,true,
5-medC,242.1136,11,13,20,116.0474,20,50,false,d3-5-medC
d3-5-medC,245.132362,11,13,20,116.0474,20,50,true,
N6-HE-dA,296.1354,22,25,20,116.0474,20,50,false,d4-N6-2HE-dA
d4-N6-2HE-dA,300.1605,22,25,20,116.0474,20,50,true,
8-oxodG,284.0989,16,18,20,116.0474,20,50,false,15N5-8-oxodG
15N5-8-oxodG,289.0841,16,18,20,116.0474,20,50,true,
8-oxo-Guo,300.0939,13,15,20,132.0423,20,50,false,"[13C,15N2]-8-oxo-Guo"
"[13C,15N2]-8-oxo-Guo",303.0913,13,15,20,132.0423,20,50,true,
