"referrer","line","candidate","token"
"docs/superpowers/productization/evidence/2026-06-17_cc-framework-improvements_productization_handoff-prune_34cdf61d.md","117","docs/deepresearch/Backfill Production Gate.md","`docs/deepresearch/Backfill Production Gate.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","138","docs/deepresearch/Backfill Production Gate.md","`docs/deepresearch/Backfill Production Gate.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","139","docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md","`docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","140","docs/superpowers/notes/2026-05-26-p2b-area-mismatch-triage-note.md","`docs/superpowers/notes/2026-05-26-p2b-area-mismatch-triage-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","141","docs/superpowers/notes/2026-05-26-p8b-85raw-superwindow-acceptance-note.md","`docs/superpowers/notes/2026-05-26-p8b-85raw-superwindow-acceptance-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","156","docs/deepresearch/Backfill Production Gate.md","`docs/deepresearch/Backfill Production Gate.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","157","docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md","`docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","158","docs/superpowers/notes/2026-05-26-p2b-area-mismatch-triage-note.md","`docs/superpowers/notes/2026-05-26-p2b-area-mismatch-triage-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","159","docs/superpowers/notes/2026-05-26-p8b-85raw-superwindow-acceptance-note.md","`docs/superpowers/notes/2026-05-26-p8b-85raw-superwindow-acceptance-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","200","docs/superpowers/notes/2026-05-28-qualitative-selection-acceptance-gate-note.md","`docs/superpowers/notes/2026-05-28-qualitative-selection-acceptance-gate-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","201","docs/superpowers/notes/2026-06-05-gaussian15-ms1-morphology-production-ready-closeout.md","`docs/superpowers/notes/2026-06-05-gaussian15-ms1-morphology-production-ready-closeout.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","202","docs/superpowers/notes/2026-06-05-gaussian15-ms1-peak-group-nl-scope-production-ready-closeout.md","`docs/superpowers/notes/2026-06-05-gaussian15-ms1-peak-group-nl-scope-production-ready-closeout.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","203","docs/superpowers/notes/2026-06-15-replay-executor-validation-note.md","`docs/superpowers/notes/2026-06-15-replay-executor-validation-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","222","docs/superpowers/notes/2026-06-18-backfill-autowrite-ground-truth-critical-review.md","`docs/superpowers/notes/2026-06-18-backfill-autowrite-ground-truth-critical-review.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","223","docs/superpowers/notes/2026-06-18-backfill-autowrite-ground-truth-strategy-note.md","`docs/superpowers/notes/2026-06-18-backfill-autowrite-ground-truth-strategy-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","224","docs/superpowers/notes/2026-06-18-chatgpt_reset_backfill_productization_objective.md","`docs/superpowers/notes/2026-06-18-chatgpt_reset_backfill_productization_objective.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","31","docs/deepresearch/Backfill Production Gate.md","`docs/deepresearch/Backfill Production Gate.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","45","docs/superpowers/plans/2026-06-18-backfill-evidence-lifecycle-blueprint.md","`docs/superpowers/plans/2026-06-18-backfill-evidence-lifecycle-blueprint.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","46","docs/superpowers/plans/2026-05-03-output-maintainability-refactor.md","`docs/superpowers/plans/2026-05-03-output-maintainability-refactor.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","47","docs/superpowers/reports/2026-06-15-current-capability-inventory-and-promotion-roadmap.md","`docs/superpowers/reports/2026-06-15-current-capability-inventory-and-promotion-roadmap.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","48","docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md","`docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","49","docs/superpowers/notes/2026-05-26-p2b-area-mismatch-triage-note.md","`docs/superpowers/notes/2026-05-26-p2b-area-mismatch-triage-note.md`"
"docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md","50","docs/superpowers/notes/2026-05-26-p8b-85raw-superwindow-acceptance-note.md","`docs/superpowers/notes/2026-05-26-p8b-85raw-superwindow-acceptance-note.md`"
