target_label	feature_family_id	sample_stem	status	raw_area	linear_area	asls_area	linear_raw_pct	asls_raw_pct	asls_vs_linear_pct	linear_baseline_subtracted_pct	asls_baseline_subtracted_pct	linear_edge_delta_pct	outside_background_pct	peak_start_rt	apex_rt	peak_end_rt	trace_point_count	classification	review_reason	plot_path	rt_identity_status	boundary_status
d3-5-medC	FAM000031	BenignfatBC1055_DNA	detected	2.15938e+07	1.80819e+07	2.15429e+07	83.7365	99.7643	19.1407	16.2635	0.235716	8.95457	0	12.3527	12.5593	12.6833	9	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_subtracts_gt_10pct;linear_edge_not_elevated;outside_background_low	plots/d3-5-medC__FAM000031.png	PASS	accepted
d3-5-medC	FAM000031	BenignfatBC1151_DNA	detected	2.03189e+07	1.74813e+07	2.02644e+07	86.0347	99.7318	15.9204	13.9653	0.268223	9.92665	0	12.3868	12.5433	12.7496	9	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_subtracts_gt_10pct;linear_edge_not_elevated;outside_background_low	plots/d3-5-medC__FAM000031.png	PASS	accepted
d3-5-medC	FAM000031	Breast_Cancer_Tissue_pooled_QC3	detected	2.06837e+07	1.74056e+07	2.06565e+07	84.1513	99.8685	18.6773	15.8487	0.131505	23.3332	0	12.0154	12.0984	12.2225	5	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_subtracts_gt_10pct;linear_edge_elevated;outside_background_low	plots/d3-5-medC__FAM000031.png	PASS	accepted
d3-5-medC	FAM000031	Breast_Cancer_Tissue_pooled_QC5	detected	2.22437e+07	1.96304e+07	2.21792e+07	88.2515	99.71	12.9839	11.7485	0.28997	8.23789	0	12.1037	12.2803	12.4873	10	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_subtracts_gt_10pct;linear_edge_not_elevated;outside_background_low	plots/d3-5-medC__FAM000031.png	PASS	accepted
d3-5-medC	FAM000031	NormalBC2263_DNA	detected	1.90448e+07	1.52999e+07	1.89984e+07	80.3364	99.7564	24.1734	19.6636	0.243636	10.525	0	12.4306	12.5968	12.7626	9	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_subtracts_gt_10pct;linear_edge_elevated;outside_background_low	plots/d3-5-medC__FAM000031.png	PASS	accepted
d3-5-medC	FAM000031	NormalBC2312_DNA	detected	2.15502e+07	1.82108e+07	2.1488e+07	84.5041	99.7114	17.9959	15.4959	0.288628	9.60422	0	12.3717	12.5278	12.7323	10	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_subtracts_gt_10pct;linear_edge_not_elevated;outside_background_low	plots/d3-5-medC__FAM000031.png	PASS	accepted
d3-5-medC	FAM000031	TumorBC2263_DNA	detected	1.80022e+07	1.55371e+07	1.79777e+07	86.3067	99.8639	15.7082	13.6933	0.136094	45.1969	0	11.4125	11.4844	11.6088	4	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_subtracts_gt_10pct;linear_edge_elevated;outside_background_low	plots/d3-5-medC__FAM000031.png	PASS	accepted
d3-5-medC	FAM000031	TumorBC2312_DNA	detected	1.7777e+07	1.30176e+07	1.77525e+07	73.2272	99.8622	36.3731	26.7728	0.137819	39.7754	0	12.0625	12.1452	12.2693	5	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_subtracts_gt_10pct;linear_edge_elevated;outside_background_low	plots/d3-5-medC__FAM000031.png	PASS	accepted
d3-5-hmdC	FAM000153	BenignfatBC1055_DNA	detected	1.14162e+07	9.0065e+06	1.13926e+07	78.8923	99.7933	26.4931	21.1077	0.206724	16.0575	0	7.25717	9.00149	9.12608	45	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_subtracts_gt_10pct;linear_edge_elevated;outside_background_low	plots/d3-5-hmdC__FAM000153.png	PASS	accepted
d3-5-hmdC	FAM000153	BenignfatBC1151_DNA	detected	8.04592e+06	8.04592e+06	8.02507e+06	100	99.7409	-0.259138	0	0.259138	4.70961	0	8.81791	9.0256	9.23322	9	methods_similar	asls_vs_linear_within_5pct	plots/d3-5-hmdC__FAM000153.png	PASS	accepted
d3-5-hmdC	FAM000153	Breast_Cancer_Tissue_pooled_QC3	detected	1.06267e+07	9.74487e+06	1.05954e+07	91.7018	99.7055	8.72798	8.29825	0.294541	3.3393	0	8.18116	8.42992	8.59544	11	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_edge_not_elevated;outside_background_low	plots/d3-5-hmdC__FAM000153.png	PASS	accepted
d3-5-hmdC	FAM000153	Breast_Cancer_Tissue_pooled_QC5	detected	1.1031e+07	9.68854e+06	1.10008e+07	87.8301	99.7262	13.5445	12.1699	0.273774	15.9353	0	8.25287	8.46038	8.62617	9	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_subtracts_gt_10pct;linear_edge_elevated;outside_background_low	plots/d3-5-hmdC__FAM000153.png	PASS	accepted
d3-5-hmdC	FAM000153	NormalBC2263_DNA	detected	1.01297e+07	8.22238e+06	1.01067e+07	81.171	99.7729	22.917	18.829	0.227055	7.31427	0	8.77969	9.0709	9.1946	11	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_subtracts_gt_10pct;linear_edge_not_elevated;outside_background_low	plots/d3-5-hmdC__FAM000153.png	PASS	accepted
d3-5-hmdC	FAM000153	NormalBC2312_DNA	detected	1.05278e+07	9.88541e+06	1.05015e+07	93.8982	99.7502	6.23232	6.10184	0.249815	2.73712	0	8.83458	9.04172	9.20721	10	linear_edge_over_subtraction_plausible	asls_near_raw;linear_subtracts_gt_5pct;linear_edge_not_elevated;outside_background_low	plots/d3-5-hmdC__FAM000153.png	PASS	accepted
d3-5-hmdC	FAM000153	TumorBC2263_DNA	detected	7.24006e+06	7.24006e+06	7.22047e+06	100	99.7294	-0.270578	0	0.270578	0	0	8.1379	9.04663	9.29117	29	methods_similar	asls_vs_linear_within_5pct	plots/d3-5-hmdC__FAM000153.png	PASS	accepted
