feature_family_id	sample_stem	status	area	apex_rt	peak_start_rt	peak_end_rt	neutral_loss_tag	family_center_mz	family_center_rt	area_baseline_corrected	area_uncertainty	area_uncertainty_formula_version	baseline_residual_mad	area_uncertainty_noise_source	baseline_type	baseline_score	uncertainty_fraction	baseline_fraction	integration_scan_count	area_baseline_corrected_asls	baseline_score_asls
FAM000001	BenignfatBC1055_DNA	duplicate_assigned	3.53563e+07	12.642	12.4352	12.8071	DNA_dR	242.114	12.1813	3.12883e+07	20594.9	baseline_residual_mad_v1	2633.22	asls_residual	linear_edge	0.884943	0.000582497	0.884943	10	3.52536e+07	0.997095
FAM000001	BenignfatBC1151_DNA	duplicate_assigned	3.95403e+07	12.6673	12.4619	12.832	DNA_dR	242.114	12.1813	3.47286e+07	26073.9	baseline_residual_mad_v1	3341.62	asls_residual	linear_edge	0.878311	0.000659428	0.878311	10	3.94138e+07	0.996803
FAM000001	Breast_Cancer_Tissue_pooled_QC3	duplicate_assigned	4.83419e+07	12.1813	12.057	12.2639	DNA_dR	242.114	12.1813	3.70892e+07	20450	baseline_residual_mad_v1	3372.84	asls_residual	linear_edge	0.767227	0.000423029	0.767227	6	4.82698e+07	0.998509
FAM000001	Breast_Cancer_Tissue_pooled_QC5	duplicate_assigned	5.23444e+07	12.4051	12.198	12.5698	DNA_dR	242.114	12.1813	4.34833e+07	33909	baseline_residual_mad_v1	4641.04	asls_residual	linear_edge	0.830715	0.000647806	0.830715	10	5.21693e+07	0.996654
FAM000001	NormalBC2263_DNA	duplicate_assigned	6.3133e+07	12.6797	12.5137	12.8454	DNA_dR	242.114	12.1813	5.0671e+07	37073.8	baseline_residual_mad_v1	4989.11	asls_residual	linear_edge	0.802607	0.000587232	0.802607	9	6.29615e+07	0.997283
FAM000001	NormalBC2312_DNA	duplicate_assigned	8.51033e+07	12.6515	12.4578	12.8154	DNA_dR	242.114	12.1813	6.66893e+07	39735.5	baseline_residual_mad_v1	7291.07	asls_residual	linear_edge	0.783628	0.000466909	0.783628	10	8.47937e+07	0.996363
FAM000001	TumorBC2263_DNA	duplicate_assigned	1.08662e+07	11.5674	11.4844	11.6502	DNA_dR	242.114	12.1813	7.73897e+06	4311.28	baseline_residual_mad_v1	779.875	asls_residual	linear_edge	0.712206	0.000396761	0.712206	5	1.08529e+07	0.998773
FAM000001	TumorBC2312_DNA	duplicate_assigned	9.30906e+07	12.1866	12.1038	12.3468	DNA_dR	242.114	12.1813	7.48289e+07	32386.5	baseline_residual_mad_v1	8742.34	asls_residual	linear_edge	0.803829	0.000347903	0.803829	7	9.28379e+07	0.997286
FAM000002	BenignfatBC1055_DNA	duplicate_assigned	3.53563e+07	12.642	12.4352	12.8071	DNA_dR	242.114	12.1866	3.12883e+07	21008.7	baseline_residual_mad_v1	2685.57	asls_residual	linear_edge	0.884943	0.0005942	0.884943	10	3.52536e+07	0.997096
FAM000002	BenignfatBC1151_DNA	duplicate_assigned	3.95403e+07	12.6673	12.4619	12.832	DNA_dR	242.114	12.1866	3.47286e+07	25882.1	baseline_residual_mad_v1	3316.7	asls_residual	linear_edge	0.878311	0.000654576	0.878311	10	3.94139e+07	0.996804
FAM000002	Breast_Cancer_Tissue_pooled_QC3	duplicate_assigned	4.83419e+07	12.1813	12.057	12.2639	DNA_dR	242.114	12.1866	3.70892e+07	20512.7	baseline_residual_mad_v1	3386.35	asls_residual	linear_edge	0.767227	0.000424325	0.767227	6	4.82699e+07	0.99851
FAM000002	Breast_Cancer_Tissue_pooled_QC5	duplicate_assigned	5.23444e+07	12.4051	12.198	12.5698	DNA_dR	242.114	12.1866	4.34833e+07	33909	baseline_residual_mad_v1	4641.04	asls_residual	linear_edge	0.830715	0.000647806	0.830715	10	5.21693e+07	0.996654
FAM000002	NormalBC2263_DNA	duplicate_assigned	6.3133e+07	12.6797	12.5137	12.8454	DNA_dR	242.114	12.1866	5.0671e+07	37073.8	baseline_residual_mad_v1	4989.11	asls_residual	linear_edge	0.802607	0.000587232	0.802607	9	6.29615e+07	0.997283
FAM000002	NormalBC2312_DNA	duplicate_assigned	8.51033e+07	12.6515	12.4578	12.8154	DNA_dR	242.114	12.1866	6.66893e+07	39735.5	baseline_residual_mad_v1	7291.07	asls_residual	linear_edge	0.783628	0.000466909	0.783628	10	8.47937e+07	0.996363
