"feature_family_id","neutral_loss_tag","family_center_mz","family_center_rt","event_cluster_count","event_member_count","identity_decision","identity_reason","quantifiable_detected_count","quantifiable_rescue_count","accepted_cell_count","row_flags","reason"
"FAM000009","DNA_dR","243.118","12.3726","3","3","production_family","owner_complete_link","3","5","8","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 5 MS1 backfilled; merged 3 event clusters"
"FAM000101","DNA_dR","254.126","19.2865","7","9","production_family","owner_complete_link","3","5","8","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 5 MS1 backfilled; merged 7 event clusters"
"FAM000264","DNA_dR","269.145","25.694","22","24","production_family","owner_complete_link","3","5","8","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 5 MS1 backfilled; merged 22 event clusters"
"FAM000344","DNA_dR","275.076","13.1991","16","20","production_family","owner_complete_link","3","5","8","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 5 MS1 backfilled; merged 16 event clusters"
"FAM000349","DNA_dR","275.095","19.2564","7","10","production_family","owner_complete_link","3","5","8","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 5 MS1 backfilled; merged 7 event clusters"
"FAM000874","DNA_dR","310.09","8.39584","5","8","production_family","owner_complete_link","3","5","8","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 5 MS1 backfilled; merged 5 event clusters"
"FAM000929","DNA_dR","312.087","8.40623","4","4","production_family","owner_complete_link","3","5","8","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 5 MS1 backfilled; merged 4 event clusters"
"FAM001082","DNA_dR","327.181","43.9751","4","4","production_family","owner_complete_link","3","5","8","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 5 MS1 backfilled; merged 4 event clusters"
"FAM001433","DNA_dR","382.09","33.0766","2","2","production_family","owner_complete_link","2","5","7","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 6 MS1 backfilled; merged 2 event clusters"
"FAM001532","DNA_dR","404.116","7.17585","3","3","production_family","owner_complete_link","3","5","8","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 5 MS1 backfilled; merged 3 event clusters"
"FAM002031","DNA_dR","553.137","15.2711","3","3","production_family","owner_complete_link","3","5","8","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 5 MS1 backfilled; merged 3 event clusters"
"FAM002058","DNA_dR","560.153","8.06875","3","3","production_family","owner_complete_link","3","5","8","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 5 MS1 backfilled; merged 3 event clusters"
"FAM002133","DNA_dR","616.304","34.2596","3","3","production_family","owner_complete_link","3","5","8","rescue_heavy;weak_seed_tolerated","anchor family; 8/8 present; 5 MS1 backfilled; merged 3 event clusters"
